Line item #,Qty,"Designator","Value","MFN","MFP","D1","D1PN","D1PL","D2","D2PN","D2PL"
1,3,"P1;P2;U3","VN-100","_","_","digikey","_","_","mouser","_","_"
2,1,"U2","TXB0106PWR","Texas Instruments","TXB0106PWR","digikey","296-23759","http://www.digikey.com/product-detail/en/texas-instruments/TXB0106PWR/296-23759-2-ND/1951119","mouser","_","_"
3,1,"U1","MIC5365-3.0YC5-TR","Microchip","MIC5365-3.0YC5-TR","digikey","576-3191","http://www.digikey.com/product-detail/en/vishay-dale/CRCW0603200RFKEAHP/541-200SCT-ND/5326826","mouser","_","_"
4,2,"R1;R2","200","Vishay","CRCW0603200RFKEAHP","digikey","541-200S","http://www.digikey.com/product-detail/en/vishay-dale/CRCW0603200RFKEAHP/541-200SCT-ND/5326826","mouser","_","_"
5,1,"C3","100n","TDK","CGJ3E2X7R1C104K080AA","digikey","445-8136","http://www.digikey.com/product-detail/en/tdk-corporation/CGJ3E2X7R1C104K080AA/445-8136-1-ND/2812154","mouser","_","_"
6,2,"C1;C2","1u","TDK","C1608X6S0J105K080AC","digikey","445-14193","http://www.digikey.com/product-detail/en/tdk-corporation/C1608X6S0J105K080AC/445-14193-1-ND/3955859","mouser","_","_"
7,1,"D2","RED","Kingbright","APT1608SURCK","digikey","754-1123","http://www.digikey.com/product-detail/en/APT1608SURCK/754-1123-1-ND/1747840","mouser","_","_"
8,1,"D1","GREEN","Kingbright","APT1608CGCK","digikey","754-1116","http://www.digikey.com/product-detail/en/APT1608CGCK/754-1116-1-ND/1747833","mouser","_","_"
