Component,References,Value,Footprint,D1N,D1PN,MFN,MPN,Quantity Per PCB
51,U12,FT231XQ,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,RS,7570045P,FTDI Chip,FT231XQ-R,1
52,U1,Mercury_XU5_4CG-4EV-5EV,Mercury_XU5,DNP,DNP,DNP,DNP,1
53,U3 U4 U15,PICAM_Expandable_Reversed,AMPHENOL_SFW22S,Digikey,609-1158-1-ND,Amphenol,SFW22S-2STE1LF,3
54,U14 U16 U17,PICAM_Reversed,AMPHENOL_SFW15S,Digikey,609-1148-1-ND,Amphenol,SFW15S-2STE1LF,3
55,U6,TPS2121,Texas_VQFN-HR-12_2x2.5_Pitch0.5mm,Digikey,296-53410-1-ND,TI,TPS2121RUXR,1
56,U8,TPS2561,VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,Digikey,296-37670-1-ND,TI,TPS2561DRCR,1
57,U7,TPSM53604RDA,Texas_B3QFN-14-1EP_5x5.5mm_P0.65mm_ThermalVia,Digikey,296-TPSM53604RDARCT-ND,TI,TPSM53604RDAR,1
58,U13,TXS02612,TI_RTW0024B,Digikey,296-23869-1-ND,TI,TXS02612RTWR,1
59,U5,USB3_A_Dual_Stacked,USB3_A_Dual_Stacked,Digikey,WM10420-ND,Molex,0484060003,1
60,U21,USB7216C,Microchip_USB7216C,Digikey,150-USB7216C/KDX-ND,Microchip Technology,USB7216C/KDX,1
61,X1,ASCO,Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,Digikey,535-12075-1-ND,Abracon LLC,ASCO-25.000MHZ-EK-T3,1





Component Groups:,61
Component Count:,200
Fitted Components:,200
Number of PCBs:,1
Total components:,200
Schematic Version:,
Schematic Date:,
PCB Variant:,['default']
BoM Date:,Wed 18 Aug 2021 02:23:01 PM PDT
Schematic Source:,ovc5.kicad_sch
KiCad Version:,Eeschema 5.99.0-unknown-ca42f31bb5~131~ubuntu20.04.1
